var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,label
9.0,22.0,0.0,4.0,1.0,1.0,0.54,0.5152,0.73,0.1045,0.293032786885
10.0,13.0,0.0,4.0,1.0,2.0,0.56,0.5303,0.78,0.0,0.319672131148
5.0,6.0,0.0,5.0,1.0,3.0,0.5,0.4848,0.88,0.1343,0.0829918032787
7.0,19.0,0.0,6.0,0.0,2.0,0.6,0.5455,0.88,0.1642,0.242827868852
4.0,13.0,0.0,3.0,1.0,1.0,0.64,0.5909,0.78,0.2985,0.152663934426
2.0,3.0,0.0,3.0,1.0,1.0,0.12,0.1364,0.5,0.1642,0.00102459016393
5.0,8.0,0.0,5.0,1.0,1.0,0.66,0.6212,0.74,0.2836,0.427254098361
3.0,20.0,0.0,4.0,1.0,2.0,0.58,0.5455,0.6,0.3582,0.337090163934
8.0,15.0,0.0,2.0,1.0,1.0,0.72,0.6515,0.34,0.2239,0.614754098361
12.0,12.0,0.0,5.0,1.0,2.0,0.34,0.303,0.42,0.3582,0.176229508197
10.0,18.0,0.0,5.0,1.0,1.0,0.56,0.5303,0.6,0.0896,0.475409836066
7.0,6.0,0.0,4.0,1.0,1.0,0.66,0.6061,0.78,0.2537,0.184426229508
1.0,6.0,1.0,1.0,0.0,1.0,0.26,0.2273,0.41,0.3881,0.0133196721311
12.0,13.0,1.0,2.0,0.0,1.0,0.4,0.4091,0.5,0.3284,0.122950819672
9.0,17.0,0.0,6.0,0.0,1.0,0.72,0.6818,0.7,0.2239,0.379098360656
6.0,9.0,0.0,2.0,1.0,1.0,0.58,0.5455,0.46,0.4179,0.335040983607
1.0,12.0,0.0,5.0,1.0,2.0,0.5,0.4848,0.88,0.1642,0.183401639344
3.0,7.0,0.0,4.0,1.0,2.0,0.48,0.4697,1.0,0.0896,0.368852459016
8.0,17.0,0.0,4.0,1.0,1.0,0.76,0.6818,0.45,0.2239,0.839139344262
1.0,11.0,0.0,4.0,1.0,2.0,0.3,0.3182,0.87,0.1045,0.112704918033
10.0,13.0,0.0,0.0,0.0,1.0,0.66,0.6212,0.44,0.0896,0.427254098361
9.0,8.0,0.0,3.0,1.0,1.0,0.72,0.697,0.74,0.194,0.741803278689
4.0,7.0,0.0,0.0,0.0,2.0,0.36,0.3485,0.71,0.1343,0.0850409836066
1.0,23.0,0.0,0.0,0.0,1.0,0.06,0.0606,0.41,0.2239,0.0204918032787
1.0,15.0,0.0,0.0,0.0,3.0,0.34,0.3333,0.81,0.1642,0.0747950819672
5.0,23.0,0.0,2.0,1.0,3.0,0.6,0.5758,0.78,0.3284,0.0635245901639
6.0,23.0,0.0,1.0,1.0,1.0,0.62,0.5909,0.78,0.2537,0.0604508196721
5.0,5.0,0.0,0.0,0.0,1.0,0.5,0.4848,1.0,0.1045,0.00512295081967
5.0,15.0,0.0,6.0,0.0,1.0,0.72,0.6515,0.3,0.1045,0.6875
5.0,23.0,0.0,2.0,1.0,1.0,0.62,0.5909,0.73,0.1045,0.106557377049
5.0,13.0,0.0,3.0,1.0,2.0,0.66,0.6212,0.74,0.1642,0.275614754098
7.0,19.0,0.0,3.0,1.0,1.0,0.82,0.8485,0.67,0.1642,0.390368852459
10.0,9.0,0.0,6.0,0.0,1.0,0.5,0.4848,0.59,0.1343,0.370901639344
2.0,19.0,0.0,4.0,1.0,1.0,0.32,0.3333,0.33,0.1045,0.301229508197
9.0,14.0,0.0,3.0,1.0,1.0,0.7,0.6364,0.37,0.1642,0.28381147541
3.0,4.0,0.0,1.0,1.0,1.0,0.34,0.3333,0.61,0.194,0.00204918032787
5.0,0.0,0.0,0.0,0.0,2.0,0.68,0.6364,0.69,0.1642,0.139344262295
11.0,4.0,0.0,1.0,1.0,1.0,0.22,0.2727,0.69,0.0,0.00922131147541
5.0,16.0,0.0,3.0,1.0,2.0,0.66,0.6212,0.5,0.194,0.364754098361
6.0,17.0,0.0,1.0,1.0,1.0,0.7,0.6515,0.54,0.0,0.577868852459
10.0,5.0,0.0,4.0,1.0,2.0,0.52,0.5,0.88,0.1642,0.0553278688525
6.0,6.0,0.0,5.0,1.0,2.0,0.74,0.697,0.66,0.0,0.123975409836
6.0,5.0,0.0,0.0,0.0,1.0,0.5,0.4848,0.68,0.0,0.0112704918033
7.0,13.0,0.0,5.0,1.0,2.0,0.8,0.7121,0.38,0.1343,0.382172131148
3.0,13.0,0.0,4.0,1.0,1.0,0.22,0.2576,0.25,0.0896,0.0809426229508
5.0,11.0,0.0,2.0,1.0,2.0,0.6,0.5758,0.78,0.0,0.19262295082
5.0,9.0,0.0,2.0,1.0,2.0,0.64,0.6061,0.73,0.194,0.140368852459
5.0,23.0,0.0,5.0,1.0,1.0,0.54,0.5152,0.37,0.194,0.183401639344
6.0,22.0,0.0,3.0,1.0,1.0,0.74,0.697,0.66,0.1343,0.131147540984
6.0,2.0,0.0,4.0,1.0,1.0,0.62,0.6212,0.57,0.1343,0.00717213114754
6.0,22.0,0.0,3.0,1.0,1.0,0.62,0.6212,0.5,0.1045,0.178278688525
3.0,5.0,0.0,5.0,1.0,2.0,0.5,0.4848,0.94,0.0,0.0338114754098
2.0,5.0,0.0,3.0,1.0,3.0,0.22,0.2424,0.93,0.1045,0.00204918032787
8.0,19.0,0.0,2.0,1.0,1.0,0.74,0.6667,0.45,0.1642,0.610655737705
6.0,20.0,0.0,1.0,1.0,2.0,0.62,0.5909,0.73,0.1343,0.36987704918
10.0,23.0,0.0,6.0,0.0,3.0,0.36,0.3485,0.93,0.2239,0.0655737704918
9.0,13.0,0.0,6.0,0.0,2.0,0.52,0.5,0.68,0.194,0.356557377049
7.0,20.0,0.0,6.0,0.0,1.0,0.72,0.6667,0.51,0.2239,0.302254098361
9.0,22.0,0.0,0.0,0.0,1.0,0.62,0.5606,0.88,0.0896,0.105532786885
8.0,8.0,0.0,3.0,1.0,1.0,0.64,0.6061,0.73,0.0896,0.757172131148
11.0,23.0,0.0,6.0,0.0,1.0,0.36,0.3636,0.71,0.1045,0.14856557377
4.0,22.0,0.0,0.0,0.0,1.0,0.5,0.4848,0.39,0.1045,0.0706967213115
